County,ncomm,new,nrep,ndem,nother,nfemale,nwhite,nafam,namin,nother_race,Year
Lee,7,2,2,5,0,1,5,2,0,0,2014
Lenoir,7,0,1,5,1,2,5,2,0,0,2014
Lincoln,5,2,5,0,0,1,5,0,0,0,2014
Macon,5,1,4,1,0,0,5,0,0,0,2014
Madison,5,2,2,3,0,0,5,0,0,0,2014
Martin,5,1,1,4,0,0,3,2,0,0,2014
McDowell,5,2,5,0,0,0,5,0,0,0,2014
Mecklenburg,9,2,3,6,0,3,5,4,0,0,2014
Mitchell,5,1,5,0,0,0,5,0,0,0,2014
Montgomery,5,1,3,2,0,0,4,1,0,0,2014
Moore,5,2,5,0,0,1,5,0,0,0,2014
Nash,7,0,3,4,0,3,5,2,0,0,2014
New Hanover,5,2,3,2,0,1,4,1,0,0,2014
Northampton,5,0,0,5,0,2,1,4,0,0,2014
Onslow,5,0,5,0,0,2,4,1,0,0,2014
Orange,7,1,0,7,0,4,6,1,0,0,2014
Pamlico,7,1,3,4,0,3,6,1,0,0,2014
Pasquotank,7,1,1,6,0,1,5,2,0,0,2014
Pender,5,1,4,1,0,0,4,1,0,0,2014
Perquimans,6,2,3,3,0,2,4,2,0,0,2014
Person,5,1,2,3,0,0,4,1,0,0,2014
Pitt,9,2,4,5,0,2,6,3,0,0,2014
Polk,5,1,4,1,0,0,5,0,0,0,2014
Randolph,5,1,5,0,0,0,5,0,0,0,2014
Richmond,7,1,1,6,0,0,7,0,0,0,2014
Robeson,8,1,1,7,0,0,3,2,3,0,2014
Rockingham,5,0,4,1,0,0,5,0,0,0,2014
Rowan,5,3,5,0,0,1,5,0,0,0,2014
Rutherford,5,3,4,1,0,0,5,0,0,0,2014
Sampson,5,2,3,2,0,1,3,2,0,0,2014
Scotland,7,1,0,7,0,2,4,3,0,0,2014
Stanly,7,4,7,0,0,1,7,0,0,0,2014
Stokes,5,0,5,0,0,1,5,0,0,0,2014
Surry,5,0,5,0,0,0,5,0,0,0,2014
Swain,5,2,0,5,0,0,4,0,1,0,2014
Transylvania,5,1,5,0,0,1,5,0,0,0,2014
Tyrrell,5,1,1,4,0,1,3,2,0,0,2014
Union,5,2,5,0,0,0,5,0,0,0,2014
Vance,7,0,2,5,0,1,3,4,0,0,2014
Wake,7,4,0,7,0,3,5,2,0,0,2014
