"COUNTY","TOT_POP","TOT_MALE","TOT_FEMALE","WA_MALE","WA_FEMALE","BA_MALE","BA_FEMALE","IA_MALE","IA_FEMALE","AA_MALE","AA_FEMALE","NA_MALE","NA_FEMALE","TOM_MALE","TOM_FEMALE","WAC_MALE","WAC_FEMALE","BAC_MALE","BAC_FEMALE","IAC_MALE","IAC_FEMALE","AAC_MALE","AAC_FEMALE","NAC_MALE","NAC_FEMALE","NH_MALE","NH_FEMALE","NHWA_MALE","NHWA_FEMALE","NHBA_MALE","NHBA_FEMALE","NHIA_MALE","NHIA_FEMALE","NHAA_MALE","NHAA_FEMALE","NHNA_MALE","NHNA_FEMALE","NHTOM_MALE","NHTOM_FEMALE","NHWAC_MALE","NHWAC_FEMALE","NHBAC_MALE","NHBAC_FEMALE","NHIAC_MALE","NHIAC_FEMALE","NHAAC_MALE","NHAAC_FEMALE","NHNAC_MALE","NHNAC_FEMALE","H_MALE","H_FEMALE","HWA_MALE","HWA_FEMALE","HBA_MALE","HBA_FEMALE","HIA_MALE","HIA_FEMALE","HAA_MALE","HAA_FEMALE","HNA_MALE","HNA_FEMALE","HTOM_MALE","HTOM_FEMALE","HWAC_MALE","HWAC_FEMALE","HBAC_MALE","HBAC_FEMALE","HIAC_MALE","HIAC_FEMALE","HAAC_MALE","HAAC_FEMALE","HNAC_MALE","HNAC_FEMALE"
147,133145,61307,71838,40076,44295,18866,24966,339,304,1152,1331,94,81,780,861,40714,44967,19309,25492,643,628,1371,1582,134,131,58150,68889,37571,41971,18555,24632,196,203,1099,1282,48,34,682,768,38124,42572,18941,25097,446,485,1302,1516,84,79,3157,2949,2506,2324,311,334,143,102,54,49,46,47,98,93,2590,2394,368,394,197,144,69,67,51,52
149,16824,7937,8887,7449,8340,351,384,39,39,33,47,1,0,63,78,7507,8410,380,420,72,75,41,61,1,1,7563,8588,7121,8082,338,374,21,22,24,40,1,0,56,70,7173,8147,364,403,49,57,32,54,1,0,375,299,328,258,13,10,18,17,9,7,0,0,7,8,333,263,16,18,22,19,9,7,0,1
151,108914,52974,55940,48198,51058,3205,3295,550,494,515,612,27,29,479,451,48630,51463,3381,3473,849,751,568,679,41,48,48293,51812,44076,47408,3064,3164,277,262,495,589,10,13,371,376,44412,47745,3195,3313,509,475,538,644,19,27,4681,4127,4122,3651,141,131,273,232,20,23,17,16,108,75,4218,3718,186,160,340,276,30,35,22,22
153,35295,17031,18263,11098,11720,5063,5613,476,479,176,195,18,20,200,237,11276,11922,5132,5700,601,626,200,234,26,30,16083,17530,10363,11199,4990,5529,383,399,173,188,2,6,173,209,10517,11375,5045,5606,493,532,195,224,11,16,948,733,736,522,73,84,93,79,3,6,15,13,27,28,759,547,86,94,109,95,5,11,15,15
155,99468,47134,52334,16258,17284,11366,13063,18317,20757,383,350,69,63,741,818,16830,17865,11657,13428,18875,21377,456,438,93,97,43788,49713,13904,15447,11155,12893,17739,20293,348,333,35,41,607,706,14360,15931,11402,13215,18192,20843,406,397,55,67,3345,2621,2354,1837,211,170,578,464,34,17,34,22,134,112,2470,1934,255,212,683,534,50,41,38,30
157,72724,34503,38221,27512,29971,6309,7498,178,157,153,197,29,27,322,371,27796,30287,6446,7672,359,348,195,259,43,51,32729,36847,25936,28775,6224,7417,123,116,138,191,15,14,293,334,26197,29061,6345,7574,290,288,173,245,28,33,1774,1375,1576,1196,86,81,55,42,15,6,13,13,29,36,1598,1226,100,98,69,59,22,14,15,17
159,106689,51945,54744,42613,44518,8002,8879,295,257,527,574,34,26,474,490,43026,44946,8204,9093,561,516,604,661,56,49,48513,51866,39635,41984,7776,8697,154,169,510,558,17,15,421,442,40007,42364,7947,8889,392,409,579,638,37,38,3432,2878,2978,2534,226,182,141,88,17,16,17,10,53,48,3019,2581,257,204,169,108,25,23,19,11
161,52658,25134,27524,22255,24341,2429,2712,89,78,126,137,12,13,223,243,22455,24561,2530,2828,204,200,156,171,23,20,24280,26806,21508,23698,2384,2679,67,71,118,134,3,4,201,220,21689,23896,2473,2784,171,184,144,165,13,11,854,718,747,643,45,33,22,7,8,3,9,9,22,23,766,665,57,44,33,17,12,6,9,9
163,48249,23366,24883,16092,16582,6173,7176,707,693,110,146,51,35,232,250,16282,16780,6274,7293,840,828,154,190,66,50,19669,21963,13021,14135,5958,7012,423,490,84,119,24,14,159,192,13152,14284,6026,7100,509,598,110,154,34,26,3698,2920,3072,2448,215,164,284,203,26,27,27,21,73,58,3130,2497,248,193,331,229,44,36,32,24
165,27394,13288,14106,6590,6982,5090,5319,1345,1461,100,134,6,3,158,206,6734,7160,5132,5386,1453,1610,117,153,11,10,12903,13879,6309,6860,5048,5275,1294,1410,98,133,5,2,149,199,6445,7031,5086,5337,1398,1556,115,152,10,9,385,226,281,122,42,44,51,52,2,1,1,1,9,7,289,129,46,49,56,54,2,1,1,1
